2CO 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2CO 1:5.17 . παράκλησις παράκλησις N-NSF 3874 παράκλησις ! παράκλησις
2CO 1:5.18 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:6.1 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 1:6.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 1:6.3 . θλιβόμεθα, θλιβόμεθα, V-PPI-1P 2346 θλίβω ! θλίβω
2CO 1:6.4 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:6.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:6.6 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 1:6.7 . παρακλήσεως παρακλήσεως N-GSF 3874 παράκλησις ! παράκλησις
2CO 1:6.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:6.9 . σωτηρίας· σωτηρίας· N-GSF 4991 σωτηρία ! σωτηρία
2CO 1:6.10 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 1:6.11 . παρακαλούμεθα, παρακαλούμεθα, V-PPI-1P 3870 παρακαλέω ! παρακαλέω
2CO 1:6.12 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:6.13 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:6.14 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 1:6.15 . παρακλήσεως παρακλήσεως N-GSF 3874 παράκλησις ! παράκλησις
2CO 1:6.16 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:6.17 . ἐνεργουμένης ἐνεργουμένης V-PMP-GSF 1754 ἐνεργέω ! ἐνεργέω
2CO 1:6.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:6.19 . ὑπομονῇ ὑπομονῇ N-DSF 5281 ὑπομονή ! ὑπομονή
2CO 1:6.20 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
2CO 1:6.21 . αὐτῶν αὐτῶν P-GPN 846 αὐτός ! αὐτός
2CO 1:6.22 . παθημάτων παθημάτων N-GPN 3804 πάθημα ! πάθημα
2CO 1:6.23 . ὧν ὧν R-GPN 3739 ὅς ! ὅς
2CO 1:6.24 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:6.25 . ἡμεῖς ἡμεῖς P-1NP 2249 ἡμεῖς ! ἐγώ
2CO 1:6.26 . πάσχομεν. πάσχομεν. V-PAI-1P 3958 πάσχω ! πάσχω
2CO 1:6.27 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:6.28 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 1:6.29 . ἐλπὶς ἐλπὶς N-NSF 1680 ἐλπίς ! ἐλπίς
2CO 1:6.30 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:6.31 . βεβαία βεβαία A-NSF 949 βέβαιος ! βέβαιος
2CO 1:6.32 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:6.33 . ὑμῶν, ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
2CO 1:7.1 . εἰδότες εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
2CO 1:7.2 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:7.3 . ὡς ὡς ADV 5613 ὡς ! ὡς
2CO 1:7.4 . κοινωνοί κοινωνοί N-NPM 2844 κοινωνός ! κοινωνός
2CO 1:7.5 . ἐστε ἐστε V-PAI-2P 1510 εἰμί ! εἰμί
2CO 1:7.6 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
2CO 1:7.7 . παθημάτων, παθημάτων, N-GPN 3804 πάθημα ! πάθημα
2CO 1:7.8 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
2CO 1:7.9 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:7.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:7.11 . παρακλήσεως. παρακλήσεως. N-GSF 3874 παράκλησις ! παράκλησις
2CO 1:8.1 P Οὐ Οὐ PRT-N 3756 οὐ ! οὐ
2CO 1:8.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 1:8.3 . θέλομεν θέλομεν V-PAI-1P 2309 θέλω ! θέλω
2CO 1:8.4 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2CO 1:8.5 . ἀγνοεῖν, ἀγνοεῖν, V-PAN 50 ἀγνοέω ! ἀγνοέω
2CO 1:8.6 . ἀδελφοί, ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2CO 1:8.7 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:8.8 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:8.9 . θλίψεως θλίψεως N-GSF 2347 θλῖψις ! θλῖψις
2CO 1:8.10 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:8.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:8.12 . γενομένης γενομένης V-2ADP-GSF 1096 γίνομαι ! γίνομαι
2CO 1:8.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:8.14 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:8.15 . Ἀσίᾳ, Ἀσίᾳ, N-DSF 773 Ἀσία ! Ἀσία
2CO 1:8.16 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:8.17 . καθ’ καθ’ PREP 2596 κατά ! κατά
2CO 1:8.18 . ὑπερβολὴν ὑπερβολὴν N-ASF 5236 ὑπερβολή ! ὑπερβολή
2CO 1:8.19 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:8.20 . δύναμιν δύναμιν N-ASF 1411 δύναμις ! δύναμις
2CO 1:8.21 . ἐβαρήθημεν, ἐβαρήθημεν, V-API-1P 916 βαρέω ! βαρέω
2CO 1:8.22 . ὥστε ὥστε CONJ 5620 ὥστε ! ὥστε
2CO 1:8.23 . ἐξαπορηθῆναι ἐξαπορηθῆναι V-APN 1820 ἐξαπορέομαι ! ἐξαπορέομαι
2CO 1:8.24 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:8.25 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:8.26 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 1:8.27 . ζῆν· ζῆν· V-PAN 2198 ζάω ! ζάω
2CO 1:9.1 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 1:9.2 . αὐτοὶ αὐτοὶ P-NPM 846 αὐτός ! αὐτός
2CO 1:9.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:9.4 . ἑαυτοῖς ἑαυτοῖς F-1DPM 1438 ἑαυτοῦ ! ἑαυτοῦ
2CO 1:9.5 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 1:9.6 . ἀπόκριμα ἀπόκριμα N-ASN 610 ἀπόκριμα ! ἀπόκριμα
2CO 1:9.7 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:9.8 . θανάτου θανάτου N-GSM 2288 θάνατος ! θάνατος
2CO 1:9.9 . ἐσχήκαμεν, ἐσχήκαμεν, V-RAI-1P 2192 ἔχω ! ἔχω
2CO 1:9.10 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 1:9.11 . μὴ μὴ PRT-N 3361 μή ! μή
2CO 1:9.12 . πεποιθότες πεποιθότες V-2RAP-NPM 3982 πείθω ! πείθω
2CO 1:9.13 . ὦμεν ὦμεν V-PAS-1P 1510 εἰμί ! εἰμί
2CO 1:9.14 . ἐφ’ ἐφ’ PREP 1909 ἐπί ! ἐπί
2CO 1:9.15 . ἑαυτοῖς ἑαυτοῖς F-1DPM 1438 ἑαυτοῦ ! ἑαυτοῦ
2CO 1:9.16 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 1:9.17 . ἐπὶ ἐπὶ PREP 1909 ἐπί ! ἐπί
2CO 1:9.18 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 1:9.19 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
2CO 1:9.20 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 1:9.21 . ἐγείροντι ἐγείροντι V-PAP-DSM 1453 ἐγείρω ! ἐγείρω
2CO 1:9.22 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
2CO 1:9.23 . νεκρούς· νεκρούς· A-APM 3498 νεκρός ! νεκρός
2CO 1:10.1 . ὃς ὃς R-NSM 3739 ὅς ! ὅς
2CO 1:10.2 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 1:10.3 . τηλικούτου τηλικούτου D-GSM 5082 τηλικοῦτος ! τηλικοῦτος
2CO 1:10.4 . θανάτου θανάτου N-GSM 2288 θάνατος ! θάνατος
2CO 1:10.5 . ἐρρύσατο ἐρρύσατο V-ANI-3S 4506 ῥύομαι ! ῥύομαι
2CO 1:10.6 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:10.7 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:10.8 . ῥύσεται, ῥύσεται, V-FDI-3S 4506 ῥύομαι ! ῥύομαι
2CO 1:10.9 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 1:10.10 . ὃν ὃν R-ASM 3739 ὅς ! ὅς
2CO 1:10.11 . ἠλπίκαμεν ἠλπίκαμεν V-RAI-1P 1679 ἐλπίζω ! ἐλπίζω
2CO 1:10.12 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:10.13 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:10.14 . ἔτι ἔτι ADV 2089 ἔτι ! ἔτι
2CO 1:10.15 . ῥύσεται, ῥύσεται, V-FDI-3S 4506 ῥύομαι ! ῥύομαι
2CO 1:11.1 . συνυπουργούντων συνυπουργούντων V-PAP-GPM 4943 συνυπουργέω ! συνυπουργέω
2CO 1:11.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:11.3 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 1:11.4 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:11.5 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:11.6 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:11.7 . δεήσει, δεήσει, N-DSF 1162 δέησις ! δέησις
2CO 1:11.8 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 1:11.9 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 1:11.10 . πολλῶν πολλῶν A-GPN 4183 πολύς ! πολύς
2CO 1:11.11 . προσώπων προσώπων N-GPN 4383 πρόσωπον ! πρόσωπον
2CO 1:11.12 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 1:11.13 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 1:11.14 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:11.15 . χάρισμα χάρισμα N-NSN 5486 χάρισμα ! χάρισμα
2CO 1:11.16 . διὰ διὰ PREP 1223 διά ! διά
2CO 1:11.17 . πολλῶν πολλῶν A-GPN 4183 πολύς ! πολύς
2CO 1:11.18 . εὐχαριστηθῇ εὐχαριστηθῇ V-APS-3S 2168 εὐχαριστέω ! εὐχαριστέω
2CO 1:11.19 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 1:11.20 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:12.1 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 1:12.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 1:12.3 . καύχησις καύχησις N-NSF 2746 καύχησις ! καύχησις
2CO 1:12.4 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:12.5 . αὕτη αὕτη D-NSF 3778 οὗτος ! οὗτος
2CO 1:12.6 . ἐστίν, ἐστίν, V-PAI-3S 1510 εἰμί ! εἰμί
2CO 1:12.7 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 1:12.8 . μαρτύριον μαρτύριον N-NSN 3142 μαρτύριον ! μαρτύριον
2CO 1:12.9 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:12.10 . συνειδήσεως συνειδήσεως N-GSF 4893 συνείδησις ! συνείδησις
2CO 1:12.11 . ἡμῶν, ἡμῶν, P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:12.12 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:12.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:12.14 . ἁγιότητι ἁγιότητι N-DSF 41 ἁγιότης ! ἁγιότης
2CO 1:12.15 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:12.16 . εἰλικρινίᾳ εἰλικρινίᾳ N-DSF 1505 εἰλικρίνεια ! εἰλικρίνεια
2CO 1:12.17 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:12.18 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2CO 1:12.19 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 1:12.20 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:12.21 . σοφίᾳ σοφίᾳ N-DSF 4678 σοφία ! σοφία
2CO 1:12.22 . σαρκικῇ σαρκικῇ A-DSF 4559 σαρκικός ! σαρκικός
2CO 1:12.23 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 1:12.24 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:12.25 . χάριτι χάριτι N-DSF 5485 χάρις ! χάρις
2CO 1:12.26 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2CO 1:12.27 . ἀνεστράφημεν ἀνεστράφημεν V-2API-1P 390 ἀναστρέφω ! ἀναστρέφω
2CO 1:12.28 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:12.29 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 1:12.30 . κόσμῳ, κόσμῳ, N-DSM 2889 κόσμος ! κόσμος
2CO 1:12.31 . περισσοτέρως περισσοτέρως ADV-C 4056 περισσοτέρως ! περισσοτέρως
2CO 1:12.32 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 1:12.33 . πρὸς πρὸς PREP 4314 πρός ! πρός
2CO 1:12.34 . ὑμᾶς. ὑμᾶς. P-2AP 5210 ὑμεῖς ! σύ
2CO 1:13.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 1:13.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 1:13.3 . ἄλλα ἄλλα A-APN 243 ἄλλος ! ἄλλος
2CO 1:13.4 . γράφομεν γράφομεν V-PAI-1P 1125 γράφω ! γράφω
2CO 1:13.5 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2CO 1:13.6 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 1:13.7 . ἢ ἢ PRT 2228 ἤ ! ἤ
2CO 1:13.8 . ἃ ἃ R-APN 3739 ὅς ! ὅς
2CO 1:13.9 . ἀναγινώσκετε ἀναγινώσκετε V-PAI-2P 314 ἀναγινώσκω ! ἀναγινώσκω
2CO 1:13.10 . ἢ ἢ PRT 2228 ἤ ! ἤ
2CO 1:13.11 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:13.12 . ἐπιγινώσκετε, ἐπιγινώσκετε, V-PAI-2P 1921 ἐπιγινώσκω ! ἐπιγινώσκω
2CO 1:13.13 . ἐλπίζω ἐλπίζω V-PAI-1S 1679 ἐλπίζω ! ἐλπίζω
2CO 1:13.14 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 1:13.15 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:13.16 . ἕως ἕως ADV 2193 ἕως ! ἕως
2CO 1:13.17 . τέλους τέλους N-GSN 5056 τέλος ! τέλος
2CO 1:13.18 . ἐπιγνώσεσθε, ἐπιγνώσεσθε, V-FDI-2P 1921 ἐπιγινώσκω ! ἐπιγινώσκω
2CO 1:14.1 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2CO 1:14.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:14.3 . ἐπέγνωτε ἐπέγνωτε V-2AAI-2P 1921 ἐπιγινώσκω ! ἐπιγινώσκω
2CO 1:14.4 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:14.5 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2CO 1:14.6 . μέρους, μέρους, N-GSN 3313 μέρος ! μέρος
2CO 1:14.7 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:14.8 . καύχημα καύχημα N-NSN 2745 καύχημα ! καύχημα
2CO 1:14.9 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 1:14.10 . ἐσμεν ἐσμεν V-PAI-1P 1510 εἰμί ! εἰμί
2CO 1:14.11 . καθάπερ καθάπερ ADV 2509 καθάπερ ! καθάπερ
2CO 1:14.12 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:14.13 . ὑμεῖς ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
2CO 1:14.14 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:14.15 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:14.16 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:14.17 . ἡμέρᾳ ἡμέρᾳ N-DSF 2250 ἡμέρα ! ἡμέρα
2CO 1:14.18 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:14.19 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 1:14.20 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:14.21 . Ἰησοῦ. Ἰησοῦ. N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
